,YEAR,NSW,VIC,QLD,SA,WA,TAS,NT,Canberra(ACT)
0,2001,6530350,4763620,3571470,1503460,1906270,473668,201743,321538
1,2002,6580810,4817770,3653120,1511570,1928510,474152,202251,324627
2,2003,6620720,4873810,3743120,1520400,1952740,478534,201725,327357
3,2004,6650740,4927150,3829970,1528190,1979540,483178,202663,328940
4,2005,6693210,4989250,3918490,1538800,2011210,486202,205905,331399
5,2006,6742690,5061270,4007990,1552530,2050580,489302,209057,335170
6,2007,6834160,5153520,4111020,1570620,2106140,493262,213748,342644
7,2008,6943460,5256380,4219510,1588670,2171700,498568,219874,348368
8,2009,7053760,5371930,4328770,1608900,2240250,504353,226027,354785
9,2010,7144290,5461100,4404740,1627320,2290850,508847,229778,361766
10,2011,7218530,5537820,4476780,1639610,2353410,511483,231292,367985
11,2012,7304240,5651090,4568690,1656730,2425510,511724,235915,376539
12,2013,7404030,5772670,4652820,1671490,2486940,512231,241722,383257
13,2014,7508350,5894920,4719650,1686950,2517610,513621,242894,388799
14,2015,7616170,6022320,4777690,1700670,2540670,515117,244692,395813
15,2016,7732860,6173170,4845150,1712840,2555980,517514,245678,403104
16,2017,7867940,6321610,4927630,1723920,2574190,522410,247517,412025
17,2018,7980170,6462020,5009420,1736530,2594180,528298,247058,420379
18,2019,8087380,6596880,5093880,1752680,2623260,534575,246143,426285
